Variable,Site,Product,Month,Mean,Std
GPP,ORNL,FLUXCOM,5,4.1304006499999995,0.09222595210223923
GPP,ORNL,FLUXCOM,6,7.876791725,0.06758100338235354
GPP,ORNL,FLUXCOM,7,9.373296333333334,0.12983007302017596
GPP,ORNL,FLUXCOM,8,9.427059083333333,0.1040752410304096
GPP,ORNL,FLUXCOM,9,7.328172166666666,0.1391468550957086
GPP,ORNL,FLUXCOM,10,4.432340708333333,0.19469736158784975
GPP,ORNL,FLUXCOM,11,1.9542080083333333,0.14948239166291283
GPP,ORNL,FLUXCOM,12,0.6046291854545455,0.09991539323880315
GPP,ORNL,GOSIF,1,0.7317221410939164,0.09229310682519253
GPP,ORNL,GOSIF,2,0.8306246956147704,0.13270699082931775
GPP,ORNL,GOSIF,3,1.5872949627937818,0.3726643806769447
GPP,ORNL,GOSIF,4,4.0831719867226495,0.8419203214209641
GPP,ORNL,GOSIF,5,9.510357339380947,0.5163535017607025
GPP,ORNL,GOSIF,6,11.201034238792266,0.4142510106117421
GPP,ORNL,GOSIF,7,10.87144277925699,0.549324025497482
GPP,ORNL,GOSIF,8,9.798765247320077,0.6049433592713637
GPP,ORNL,GOSIF,9,7.075242834260222,0.485618477994602
GPP,ORNL,GOSIF,10,3.7205945737166597,0.33290770087513866
GPP,ORNL,GOSIF,11,1.4751547191191223,0.14990571866270413
GPP,ORNL,GOSIF,12,0.8200770037543393,0.10359257400990071
GPP,ORNL,CAL,1,0.941389723770032,0.1322618363847142
GPP,ORNL,CAL,2,0.899300663215404,0.21565135421010026
GPP,ORNL,CAL,3,0.950503160291293,0.421342177839901
GPP,ORNL,CAL,4,1.9636631006098249,0.5657536422444016
GPP,ORNL,CAL,5,4.248769338534136,0.784739975701059
GPP,ORNL,CAL,6,8.217310514908652,0.46981436845625624
GPP,ORNL,CAL,7,9.221591510289674,0.19331163593158082
GPP,ORNL,CAL,8,8.496606743359681,0.4053269342121742
GPP,ORNL,CAL,9,6.9006543613696865,0.9754129118473004
GPP,ORNL,CAL,10,5.0652326582100295,1.1163064224824821
GPP,ORNL,CAL,11,3.4458569218417754,0.7803357491784905
